"name","rating","service","no_of_emp","cmp_age","location"
"Aakash Educational Services","3.6","EdTech "," 10k-50k Employees ","35","New Delhi"
"Wipro Enterprises Ltd","3.8","IT Services & Consulting "," 501-1k Employees ","78","Bangalore"
"KocharTech","4.2","IT Services & Consulting "," 1k-5k Employees ","28","Gurgaon/Gurugram"
"Dilip Buildcon","4","Engineering & Construction "," 10k-50k Employees ","36","Bhopal"
"Huawei Technologies","4","IT Services & Consulting "," 51-200 Employees ","21","Gurgaon/Gurugram"
"Jubilant Foods Works","3.8","Retail "," 10k-50k Employees ","28","Noida"
"KPIT Technologies","3.6","Software Product "," 5k-10k Employees ","33","Pune"
"UPL","4.1","Agro Chemicals "," 1k-5k Employees ","54","Mumbai"
"Lava International","4.1","Telecom "," 1k-5k Employees ","14","Noida"
"Domino's Pizza","4","Hospitality "," 1k-5k Employees ","63","Ypsilanti"
"Marpu Foundation","4.9","Non-Profit "," 11-50 Employees ","7","Hyderabad/Secunderabad"
"Reliance SMSL","4","BPO "," 1k-5k Employees ","16","Mumbai"
"Tata AIG","4.2","Insurance "," 5k-10k Employees ","23","Mumbai"
"Capita","3.9","5k-10k Employees "," 18 years old ","18","Indore"
"Flex","4.1","Electronics Manufacturing "," 10k-50k Employees ","54","San Jose"
"Birlasoft","3.7","IT Services & Consulting "," 10k-50k Employees ","28","Pune"
"Patanjali Ayurved","4","FMCG "," 5k-10k Employees ","17","Haridwar"
"Synechron","4.1","IT Services & Consulting "," 5k-10k Employees ","22","New York"
"Statestreet HCL Services","3.2","BPO "," 5k-10k Employees ","11","New Delhi"
"Taj Hotels Resorts and Palaces","4.2","Hospitality "," 10k-50k Employees ","120","Mumbai"
"State Street Syntel","3.8","Financial Services "," 501-1k Employees ","19","Mumbai"
"AFCONS Infrastructure","4.4","Engineering & Construction "," 10k-50k Employees ","64","Mumbai"
"Lenskart","3.2","Other "," 1k-5k Employees ","13","Faridabad"
"Walmart","4","Retail "," 5k-10k Employees ","14","Bangalore/Bengaluru"
"Tech Mahindra Business Services","3.5","BPO "," 1k-5k Employees ","20","Mumbai"
"Tractors and Farm Equipment","4.1","Automobile "," 5k-10k Employees ","63","Chennai"
"Max Healthcare","4.1","Healthcare "," 1k-5k Employees ","22","Delhi/NCR"
"AGS Health","4.1","BPO "," 10k-50k Employees ","12","Washington DC"
"Mankind Pharma","4.1","Pharma "," 5k-10k Employees ","28","New Delhi"
"Zensar Technologies","3.8","IT Services & Consulting "," 5k-10k Employees ","22","Pune"
"Tata Technologies","3.7","IT Services & Consulting "," 5k-10k Employees ","34","Singapore"
"Square Yards","3.8","Real Estate "," 1k-5k Employees ","10","Gurgaon"
"Fortis Healthcare","4","Healthcare "," 5k-10k Employees ","27","Gurgaon/Gurugram"
"Nestle","4.1","Food Processing "," 5k-10k Employees ","64","Vevey"
"Landmark Group","4.1","Retail "," 1k-5k Employees ","50","Dubai Marina"
"Blue Dart Express","4.1","Logistics "," 10k-50k Employees ","40","Mumbai"
"Ola Cabs","3.6","Internet "," 501-1k Employees ","13","Bangalore"
"Birla Sun Life Insurance","4.2","Insurance "," 10k-50k Employees ","23","Mumbai"
"Fiserv","3.7","FinTech "," 5k-10k Employees ","39","Brookfield"
"IGT Solutions","3.4","IT Services & Consulting "," 5k-10k Employees ","25","Gurgaon/Gurugram"
"HDFC Sales","4","Financial Services "," 10k-50k Employees ","19","Mumbai"
"Future Retail","4.3","Retail "," 10k-50k Employees ","36","San Francisco"
"Societe Generale","3.9","Financial Services "," 1k-5k Employees ","23","Bangalore/Bengaluru"
"BlackBuck","3.9","Logistics "," 501-1k Employees ","8","Bangalore"
"I Process Services","3.9","Recruitment "," 1k-5k Employees ","18","Mumbai"
"Nokia","4.2","Hardware & Networking "," 10k-50k Employees ","158","Espoo"
"Lifestyle","4.4","Retail "," 10k-50k Employees ","24","Bangalore/Bengaluru"
"Voltas","4","Consumer Electronics & Appliances "," 1k-5k Employees ","69","Mumbai"
"Eureka Forbes","3.9","Consumer Electronics & Appliances "," 5k-10k Employees ","41","Mumbai"
"Rivigo","3.9","Internet "," 1k-5k Employees ","9","Gurgaon"
"JMC Projects","4.2","Engineering & Construction "," 1k-5k Employees ","41","Mumbai"
"UNO Minda","4","Auto Components "," 201-500 Employees ","65","Gurgaon"
"The Himalaya Drug Company","4.1","Pharma "," 5k-10k Employees ","93","San Francisco"
"Extramarks Education","3.5","EdTech "," 1k-5k Employees ","16","Noida"
"Micro Labs","3.7","Pharma "," 10k-50k Employees ","50","Bangalore/Bengaluru"
"G4S","4","Law Enforcement & Security "," 1 Lakh+ Employees ","27","Gurgaon/Gurugram"
"Tata Teleservices","4.1","Telecom "," 201-500 Employees ","27","Mumbai"
"PepsiCo","4.1","Food Processing "," 1k-5k Employees ","34","Harrison"
"ElasticRun","3.4","Logistics "," 1k-5k Employees ","7","Pune"
"Grasim Industries","4","Building Material "," 10k-50k Employees ","76","Nagda"
"Ajanta Pharma","4","Pharma "," 1k-5k Employees ","50","Mumbai"
"Nokia Networks","4.4","10k-50k Employees "," Chennai +79 more",NULL,"Chennai"
"ACT Fibernet","4.1","Telecom "," 5k-10k Employees ","15","Bengaluru/Bangalore"
"Cholamandalam MS General Insurance","3.9","Insurance "," 1k-5k Employees ","22","Chennai"
"Shree Cement","4.1","Building Material "," 5k-10k Employees ","44","Kolkata"
"Blue Star","4.1","Consumer Electronics & Appliances "," 1k-5k Employees ","80","Mumbai"
"Sterlite Technologies","3.9","Hardware & Networking "," 1k-5k Employees ","35","Pune"
"Pfizer","4.1","Pharma "," 1k-5k Employees ","19","Chennai"
"Johnson Controls","3.4","Industrial Automation "," 1k-5k Employees ","28","Cork"
"Delhi Public School","3.9","Education & Training "," 1k-5k Employees ","25","Greater Noida"
"Dalmia Bharat Cement","4.1","Building Material "," 5k-10k Employees ","88","Delhi/NCR"
"TVS Credit","4.3","NBFC "," 10k-50k Employees ","15","Chennai"
"Croma","4.2","Retail "," 1k-5k Employees ","17","Mumbai"
"Sonalika Tractors","3.8","Automobile "," 1k-5k Employees ","54","Hoshiarpur"
"Renault-Nissan","4.1","Automobile "," 10k-50k Employees ","16","Chennai"
"Emcure Pharmaceuticals","3.8","Pharma "," 5k-10k Employees ","42","Pune"
"Samsung Electronics","4.1","Noida +184 more",NULL,NULL,"Noida"
"Mahindra Logistics","4.1","Logistics "," 1k-5k Employees ","23","Mumbai"
"IKS Health","3.6","Healthcare "," 5k-10k Employees ","16","Mumbai"
"PVR Cinemas","4.2","Media & Entertainment "," 5k-10k Employees ","26","Gurgaon"
"HCL Infosystems","4","IT Services & Consulting "," 51-200 Employees ","47","Noida"
"XpressBees","3.8","Logistics "," 1k-5k Employees ","8","Pune"
"Kalyan Jewellers","4.8","Metals & Mining "," 5k-10k Employees ","30","Bengaluru/Bangalore"
"Datamatics Global Services","3.6","IT Services & Consulting "," 1k-5k Employees ","48","Mumbai"
"V-Mart","4.2","Retail "," 5k-10k Employees ","21","Gurgaon/Gurugram"
"LTIMindtree","3.7","IT Services & Consulting "," 27 years old ","27","Pune"
"Indus Towers","4","Telecom "," 1k-5k Employees ","16","Gurgaon"
"Parle Agro","4.2","Beverage "," 1k-5k Employees ","39","Mumbai"
"Mahindra Holidays & Resorts","3.7","Hospitality "," 5k-10k Employees ","27","Mumbai"
"Zomato","3.7","Internet "," 1k-5k Employees ","15","Gurgaon"
"Kalpataru Power Transmission","4.1","Power "," 1k-5k Employees ","42","Mumbai"
"Poonawalla Fincorp","3.9","NBFC "," 5k-10k Employees ","35","Mumbai"
"Ambuja Cements","3.9","Building Material "," 5k-10k Employees ","40","Mumbai"
"Info Edge","4.1","Internet "," 1k-5k Employees ","28","Noida"
"Cybage","4","IT Services & Consulting "," 5k-10k Employees ","28","Pune"
"Whirlpool","4.1","Consumer Electronics & Appliances "," 1k-5k Employees ","112","Michigan"
"Reliance Trends","4.3","Retail "," 1 Lakh+ Employees ","17","Navi Mumbai"
"Shriram City","4.1","Financial Services "," 10k-50k Employees ","37","Chennai"
"ICICI Securities","3.8","5k-10k Employees "," Public ","28","Mumbai"
"Myntra","4.1","Retail "," 1k-5k Employees ","16","Bangalore"
"Force Motors","3.4","Automobile "," 1k-5k Employees ","65","Pune"
"Shell","4.3","Oil & Gas "," 10k-50k Employees ","19","London"
"Shahi Exports","4.1","Retail "," 1 Lakh+ Employees ","49","Faridabad"
"ITC Hotels","4.1","Hospitality "," 5k-10k Employees ","48","Kolkata"
"3i Infotech","3.6","IT Services & Consulting "," 1k-5k Employees ","30","Mumbai"
"JCB","4","Industrial Machinery "," 1k-5k Employees ","78","Rocester"
"Endurance Technologies","3.8","Auto Components "," 1k-5k Employees ","38","Aurangabad"
"Taurus BPO Services","4.7","BPO "," 1k-5k Employees ","8","Pune"
"Blinkit","3.8","Internet "," 1k-5k Employees ","10","Gurgaon"
"Bharti AXA Life Insurance","3.9","Insurance "," 5k-10k Employees ","17","Mumbai"
"Delphi TVS","4","Auto Components "," 1k-5k Employees ","34","Kanchipuram"
"Brakes India","4","Auto Components "," 1k-5k Employees ","61","Chennai"
"Lodha group","4.1","Real Estate "," 1k-5k Employees ","43","Mumbai"
"JK Tyres","3.8","Auto Components "," 1k-5k Employees ","72","New Delhi"
"Bharat Petroleum","4.1","Oil & Gas "," 5k-10k Employees ","71","Mumbai"
"Future Generali India Life Insurance","3.8","Insurance "," 1k-5k Employees ","16","Mumbai"
"ZS","3.6","Management Consulting "," 5k-10k Employees ","40","Evanston"
"Sobha","4","Real Estate "," 1k-5k Employees ","28","Bangalore/Bengaluru"
"Syngene International","3.9","Pharma "," 1k-5k Employees ","30","Bangalore/Bengaluru"
"Coromandel International","4.1","Agriculture "," 5k-10k Employees ","62","Hyderabad/Secunderabad"
"Fujitsu","4","IT Services & Consulting "," 5k-10k Employees ","88","Bangalore/Bengaluru"
"Aavas Financiers","4","Financial Services "," 5k-10k Employees ","12","Jaipur"
"café Coffee day","4","Beverage "," 10k-50k Employees ","27","Bengaluru"
"Mahindra Rural Housing Finance","4.1","Financial Services "," 5k-10k Employees ","16","Mumbai"
"Thomson Reuters","4.2","Printing & Publishing "," 1k-5k Employees ","15","Toronto"
"Tata Elxsi","4","IT Services & Consulting "," 10k-50k Employees ","34","Bangalore/Bengaluru"
"Gabriel India","4.2","Auto Components "," 1k-5k Employees ","62","Pune"
"MSN Laboratories","3.8","Pharma "," 1k-5k Employees ","20","Hyderabad/Secunderabad"
"Movate","3.6","IT Services & Consulting "," 10k-50k Employees (Global) ","27","Plano"
"Sopra Steria","4","IT Services & Consulting "," 5k-10k Employees ","55","Paris"
"Honda","4.1","Automobile "," 10k-50k Employees ","38","Greater Noida"
"Big Bazaar","4.3","Retail "," 10k-50k Employees ","22","Mumbai"
"Care Health Insurance","3.8","Internet "," 5k-10k Employees ","11","Gurgaon"
"GVK Emergency Management and Research Institute","3.7","Non-Profit "," 10k-50k Employees ","18","Hyderabad/Secunderabad"
"Lucas-TVS","4","Auto Components "," 5k-10k Employees ","62","Chennai"
"Ninjacart","3.9","Logistics "," 1k-5k Employees ","8","Bangalore"
"Adani Wilmar","4.2","FMCG "," 1k-5k Employees ","24","Ahmedabad"
"Power Mech Projects","3.8","Engineering & Construction "," 1k-5k Employees ","16","Hyderabad/Secunderabad"
"CAMS","3.7","IT Services & Consulting "," 5k-10k Employees ","35","Chennai"
"UpGrad","4.1","EdTech "," 1k-5k Employees ","8","San Francisco"
"Parle Products","3.9","Food Processing "," 1k-5k Employees ","94","Mumbai"
"TVS Sundram Fasteners","3.7","Auto Components "," 1k-5k Employees ","61","Chennai"
"SAP","4.3","IT Services & Consulting "," 5k-10k Employees ","51","Walldorf"
"Exide Life Insurance","3.8","Insurance "," 1k-5k Employees ","22","Bangalore/Bengaluru"
"RMSI","3.8","IT Services & Consulting "," 1k-5k Employees ","31","Noida"
"PHN Technology","4.6","Pune +29 more",NULL,NULL,"Pune"
"Uflex","3.8","Packaging "," 5k-10k Employees ","38","Noida"
"Motilal Oswal Financial Services","3.6","5k-10k Employees "," Public ","36","Mumbai"
"ValueLabs","3.8","IT Services & Consulting "," 5k-10k Employees ","26","Hyderabad/Secunderabad"
"Cisco","4.4","IT Services & Consulting "," 10k-50k Employees ","39","San Jose"
"Canara HSBC Life Insurance","3.7","Insurance "," 1k-5k Employees ","15","Gurgaon/Gurugram"
"Unacademy","3.4","EdTech "," 1k-5k Employees ","8","Bangalore"
"Jindal Stainless","4.2","Iron & Steel "," 1k-5k Employees ","53","Delhi/NCR"
"Tata Capital Financial Services","4.2","Financial Services "," 1k-5k Employees ","16","Mumbai"
"Wockhardt","3.9","Pharma "," 5k-10k Employees ","24","Mumbai"
"Renault Nissan Technology & Business Centre India","3.8","Automobile "," 5k-10k Employees (Global) ","16","Chennai"
"Citicorp","3.8","Financial Services "," 201-500 Employees ","26","Mumbai"
"IDBI Bank","3.8","Banking "," 10k-50k Employees ","59","Mumbai"
"AXA Business Services","3.8","Insurance "," 1k-5k Employees ","77","Paris"
"AECOM","4.2","Engineering & Construction "," 1k-5k Employees ","33","Dallas"
"Laurus Labs","4.2","Pharma "," 1k-5k Employees ","18","Hyderabad/Secunderabad"
"BA Continuum","4.3","IT Services & Consulting "," 10k-50k Employees ","20","Gurgaon/Gurugram"
"NoBroker","3.4","Internet "," 1k-5k Employees ","9","Bangalore"
"Fincare Small Finance Bank","4","NBFC "," 5k-10k Employees ","16","Bangalore"
"Star Health & Allied Insurance","3.9","Insurance "," 10k-50k Employees ","17","Chennai"
"Indiabulls","3.7","NBFC "," 1k-5k Employees ","23","Gurgaon/Gurugram"
"XL Dynamics","3.4","Accounting & Auditing "," 1k-5k Employees ","21","Navi Mumbai"
"Bhushan Power & Steel","4","Iron & Steel "," 5k-10k Employees ","53","Delhi/NCR"
"Vedantu","3.4","EdTech "," 5k-10k Employees ","12","Bangalore"
"Xoriant","4","IT Services & Consulting "," 1k-5k Employees ","33","Sunnyvale"
"G R Infraprojects","4.1","Engineering & Construction "," 10k-50k Employees ","28","Udaipur"
"MetLife","4.4","IT Services & Consulting "," 1k-5k Employees ","15","New York"
"Dr Lal PathLabs","4.2","Healthcare "," 1k-5k Employees ","74","Gurgaon/Gurugram"
"DBS Bank","3.8","Banking "," 5k-10k Employees ","8","Hyderabad/Secunderabad"
"VVDN Technologies","3.6","IT Services & Consulting "," 1k-5k Employees ","16","Gurgaon"
"Kotak Securities","3.7","Financial Services "," 5k-10k Employees ","29","Mumbai"
"Tata Play","4.1","Media & Entertainment "," 1k-5k Employees ","17","Mumbai"
"Sify Technologies","4","Telecom "," 1k-5k Employees ","28","Chennai"
"Narayana Health","4.2","Healthcare "," 10k-50k Employees ","23","Bangalore/Bengaluru"
"CMA CGM","4.1","Ports & Shipping "," 1k-5k Employees ","45","Marseille"
"Harman Connected Services","3.7","IT Services & Consulting "," 10k-50k Employees ","22","Mountain View"
"Aragen Life Sciences","4.2","Pharma "," 1k-5k Employees ","23","Hyderabad/Secunderabad"
"Aditya Birla Capital","4","Financial Services "," 10k-50k Employees ","16","Mumbai"
"Philips","3.9","Consumer Electronics & Appliances "," 5k-10k Employees ","93","Amsterdam"
"Akums Drugs & Pharmaceuticals","4","Pharma "," 1k-5k Employees ","19","Delhi/NCR"
"Reliance General Insurance","3.8","Insurance "," 5k-10k Employees ","23","Mumbai"
"Honeywell Automation","3.9","Consumer Electronics & Appliances "," 10k-50k Employees ","117","Morris Plains"
"PhonePe","4.1","FinTech "," 501-1k Employees ","8","Bangalore"
"HERE Technologies","3.9","IT Services & Consulting "," 1k-5k Employees ","38","Eindhoven"
"Yamaha Motor","4","Automobile "," 1k-5k Employees ","16","Iwata"
"Hero FinCorp","4.2","NBFC "," 5k-10k Employees ","32","Delhi"
"Quest Global","3.6","10k-50k Employees "," 26 years old ","26","Singapore"
"BT Global Services","4.1","IT Services & Consulting "," 1k-5k Employees ","23","London"
"Crisil","3.8","Financial Services "," 1k-5k Employees ","36","Mumbai"
"Intellect Design Arena","4","FinTech "," 1k-5k Employees ","9","Chennai"
"Novartis","4.1","Pharma "," 1k-5k Employees ","27","Switzerland"
"Straive","3.6","EdTech "," 1k-5k Employees ","43","Singapore"
"Sigma Electric Manufacturing Corporation","4","Industrial Machinery "," 1k-5k Employees ","41","Garner"
"Amazon Transportation Services","4.2","Logistics "," 1k-5k Employees ","11","Seattle"
"Microland","3.6","IT Services & Consulting "," 1k-5k Employees ","34","Bangalore"
"CMS Infosystems","3.7","IT Services & Consulting "," 5k-10k Employees ","15","Mumbai"
"Allsec Technologies","3.9","BPO "," 5k-10k Employees ","23","Chennai"
"Safexpress","4.1","Logistics "," 5k-10k Employees ","26","Delhi/NCR"
"Reckitt Benckiser","4.1","FMCG "," 1k-5k Employees ","24","Slough"
"Metro","4.2","Retail "," 1k-5k Employees ","59","Bangalore/Bengaluru"
"Exotic Learning","4.6","EdTech "," 51-200 Employees ","3","Lucknow"
"YASH Technologies","3.9","IT Services & Consulting "," 5k-10k Employees ","27","East Moline"
"Meesho","3.7","Internet "," 1k-5k Employees ","8","Bangalore"
"NCR Corporation","4.1","Software Product "," 5k-10k Employees ","139","Atlanta"
"Piramal Group","4","Financial Services "," 1k-5k Employees ","43","Mumbai"
"TCE","3.8","Engineering & Construction "," 5k-10k Employees ","61","Mumbai"
"Exl India","3.7","IT Services & Consulting "," 11-50 Employees ","66","New Delhi"
"Spark Minda","3.8","Auto Components "," 10k-50k Employees ","65","Gurgaon"
"SBI General Insurance","3.9","Insurance "," 1k-5k Employees ","14","Mumbai"
"Cavinkare","4","FMCG "," 1k-5k Employees ","40","Chennai"
"Hyatt Regency","4.2","Hospitality "," 1k-5k Employees ","43","New Delhi"
"ABC","3.9","Broadcasting "," 1k-5k Employees (Global) ","80","New York"
"DIVI'S Laboratories","3.7","Healthcare "," 10k-50k Employees ","33","Hyderabad/Secunderabad"
"Microsoft Corporation","4.2","Software Product "," 5k-10k Employees ","48","Sunnyvale"
"Honeywell Technology Solutions","3.9","Defence & Aerospace "," 10k-50k Employees ","29","Bangalore/Bengaluru"
"ESAF Microfinance & Investments (P)","3.9","Financial Services "," 1k-5k Employees ","7","Thrissur/Trichur"
"Karvy Data Management Services","3.6","Analytics & KPO "," 1k-5k Employees ","15","Hyderabad/Secunderabad"
"USV","4","Pharma "," 1k-5k Employees ","62","Mumbai"
"Adecco Group","3.8","Recruitment "," 1k-5k Employees ","24","Zurich"
"Optum Global Solutions","4.1","IT Services & Consulting "," 1k-5k Employees ","  ","Hyderabad/Secunderabad"
"Mother Dairy Fruit & Vegetable","4.2","Food Processing "," 1k-5k Employees ","49","Noida"
"SS&C TECHNOLOGIES","3.6","Software Product "," 5k-10k Employees ","37","Windsor Locks"
"USHA International","4.3","Consumer Electronics & Appliances "," 1k-5k Employees ","89","Gurgaon/Gurugram"
"Johnson & Johnson","4.3","Pharma "," 1k-5k Employees ","66","New Brunswick"
"Mercedes-Benz Research & Development India","4","Automobile "," 5k-10k Employees ","27","Bengaluru/Bangalore"
"KFintech","3.6","FinTech "," 5k-10k Employees ","6","Hyderabad"
"Innovsource Services","4","Recruitment "," 1k-5k Employees ","19","Mumbai"
"Honda Cars","4.3","Automobile "," 5k-10k Employees ","500","Greater Noida"
"24-7 Intouch","3.1","BPO "," 1k-5k Employees ","22","Winnipeg"
"Jet Airways","4.6","Aviation "," 201-500 Employees ","30","Mumbai"
"Matrimony.com","4.4","Internet "," 1k-5k Employees ","26","Chennai"
"Aon","3.9","Financial Services "," 10k-50k Employees ","83","London"
"Google","4.4","Internet "," 10k-50k Employees ","25","Mountain View"
"Max Fashion","4.2","Retail "," 5k-10k Employees ","9","Abu Dhabi"
"V-Guard Industries","4.4","Electrical Equipment "," 1k-5k Employees ","46","Kochi/Cochin"
"Torrent Power","3.8","Power "," 5k-10k Employees ","27","Ahmedabad"
"DHL Express","4.1","Logistics "," 1k-5k Employees ","44","Bonn"
"Motherson Automotive Technologies and Engineering","4","Auto Components "," 501-1k Employees ","26","Noida"
"Niva Bupa Health Insurance Company","3.7","Financial Services "," 1k-5k Employees ","15","Delhi/NCR"
"Verizon","4.2","Telecom "," 5k-10k Employees ","23","New York City"
"PI Industries","4.2","Agro Chemicals "," 1k-5k Employees ","76","Gurgaon/Gurugram"
"CitiusTech","3.6","IT Services & Consulting "," 1k-5k Employees ","18","New Jersey"
"HDFC Securities","3.6","Financial Services "," 1k-5k Employees ","23","Mumbai"
"Isgec Heavy Engineering","3.9","Industrial Machinery "," 1k-5k Employees ","90","Noida"
"DHL Supply Chain","4.3","Logistics "," 1k-5k Employees ","54","Bonn"
"Aforeserve","3.4","IT Services & Consulting "," 1k-5k Employees ","23","Noida"
"Chegg","4.3","IT Services & Consulting "," 501-1k Employees ","18","Santa Clara"
"Orange Business Services","4.3","IT Services & Consulting "," 1k-5k Employees ","17","Paris"
"Swaraj Tractors","4.2","Automobile "," 1k-5k Employees ","61","Mumbai"
"Planet Spark","3.7","EdTech "," 51-200 Employees ","6","Gurgaon"
"Medi Assist India","3.7","Healthcare "," 1k-5k Employees ","23","Bangalore"
"NTPC","4.3","10k-50k Employees "," Fortune India 500 ","48","Delhi/NCR"
"Varroc Group","3.7","Auto Components "," 1k-5k Employees ","35","Aurangabad"
"Dell EMC","4.2","IT Services & Consulting "," 10k-50k Employees ","44","Hopkinton"
"Tata Communications Transformation Services","4.1","Telecom "," 10k-50k Employees ","17","Mumbai"
"Team Computers","3.7","IT Services & Consulting "," 1k-5k Employees ","36","Delhi/NCR"
"Belrise Industries","3.8","Auto Components "," 10k-50k Employees ","27","Aurangabad"
"Kent RO Systems","3.6","Consumer Electronics & Appliances "," 1k-5k Employees ","24","Noida"
"Inox Leisure","4.1","Media & Entertainment "," 10k-50k Employees ","24","Mumbai"
"Marriott International","4.2","Hospitality "," 10k-50k Employees ","96","Bethesda"
"FactSet","4","Analytics & KPO "," 1k-5k Employees ","45","Norwalk"
"Medanta the Medicity","4.2","Healthcare "," 1k-5k Employees ","14","Gurgaon"
"Faurecia","4","Auto Components "," 1k-5k Employees ","26","Nanterre"
"Sony","4.4","Consumer Electronics & Appliances "," 1k-5k Employees ","29","Delhi/NCR"
"FedEx Express","4.2","Logistics "," 5k-10k Employees ","52","Moon Township"
"Jindal Saw","4","Building Material "," 1k-5k Employees ","39","Delhi/NCR"
"Emami","4","FMCG "," 1k-5k Employees ","49","Kolkata"
"Dainik Bhaskar Group Of Publication","4","Printing & Publishing "," 5k-10k Employees ","65","Bhopal"
"Nayara Energy","4.2","Oil & Gas "," 1k-5k Employees ","34","Mumbai"
"Mercer","3.9","Management Consulting "," 1k-5k Employees ","78","New York"
"SRL Diagnostics","4.1","Healthcare "," 1k-5k Employees ","28","Mumbai"
"SBI Securities","3.7","Financial Services "," 5k-10k Employees ","17","Mumbai"
"Haier Appliances India","4","Consumer Electronics & Appliances "," 1k-5k Employees ","19","Qingdao"
"L&T Energy Hydrocarbon","3.8","Oil & Gas "," 5k-10k Employees ","14","Mumbai"
"Trent","4.1","Retail "," 1k-5k Employees ","25","Mumbai"
"Allstate","4.1","IT Services & Consulting "," 5k-10k Employees ","11","Bangalore/Bengaluru"
"Bharat Financial Inclusion","4.1","Financial Services "," 10k-50k Employees ","25","Hyderabad"
"Security and Intelligence Services (India)","4.2","BPO "," 1 Lakh+ Employees ","38","Delhi/NCR"
"iOPEX Technologies","3.9","IT Services & Consulting "," 1k-5k Employees ","14","San Jose"
"Sitel","3.8","BPO "," 5k-10k Employees ","38","Miami"
"Bata","3.9","Fashion & Textile "," 1k-5k Employees ","92","Lausanne"
"J. Kumar Infraprojects","4.1","Engineering & Construction "," 5k-10k Employees ","43","Mumbai"
"KFC","4.2","Hospitality "," 1k-5k Employees ","71","Louisville"
"Muthoot Group","3.6","NBFC "," 1k-5k Employees ","136","Wedel"
"NIIT","3.6","Education & Training "," 1k-5k Employees ","42","Gurgaon/Gurugram"
"Frankfinn Institute of Air Hostess Training","3.9","Education & Training "," 1k-5k Employees ","30","Gurgaon/Gurugram"
"L.G.Balakrishnan & Bros","3.8","Industrial Machinery "," 1k-5k Employees ","86","Coimbatore"
"Apollo Pharmacy","3.9","Pharma "," 10k-50k Employees ","40","Chennai"
"Barclays Shared Services","4.2","IT Services & Consulting "," 5k-10k Employees ","16","London"
"Hindustan Petroleum","4.2","Oil & Gas "," 10k-50k Employees ","49","Mumbai"
"Oracle Cerner","3.9","IT Services & Consulting "," 1k-5k Employees ","44","Kansas"
"Relaxo Footwear","4.1","Fashion & Textile "," 1k-5k Employees ","47","New Delhi"
"Globiva","3.3","BPO "," 1k-5k Employees ","6","Gurgaon/Gurugram"
"TATA Power","4","Power "," 10k-50k Employees ","112","Mumbai"
"Narayana Educational Society","3.6","Education & Training "," 1k-5k Employees ","38","Hyderabad/Secunderabad"
"HCL Technologies BPO Services","3.6","BPO "," 1 Lakh+ Employees ","23","Noida"
"Trident Group","3.5","Fashion & Textile "," 10k-50k Employees ","33","Ludhiana"
"Paisabazaar.com","3.6","FinTech "," 1k-5k Employees ","9","Gurgaon/Gurugram"
"ISS Facility Services","4.2","Facility Management Services "," 10k-50k Employees ","18","Copenhagen"
"Tata Capital","4.1","NBFC "," 5k-10k Employees ","16","Mumbai"
"Lumax Industries","4","Auto Components "," 1k-5k Employees ","78","Pune"
"Marico","4.1","FMCG "," 1k-5k Employees ","33","Mumbai"
"Fareportal","3.3","Internet "," 1k-5k Employees ","21","New York"
"Toyota Kirloskar Motor","4.3","Automobile "," 5k-10k Employees ","26","Bangalore/Bengaluru"
"Pantaloons","4.2","Fashion & Textile "," 10k-50k Employees ","26","Mumbai"
"Welspun","4","Fashion & Textile "," 5k-10k Employees ","38","Mumbai"
"IDC Technologies","3.3","IT Services & Consulting "," 1k-5k Employees ","20","Milpitas"
"Aircel","4.4","Telecom "," 5k-10k Employees ","24","Gurgaon/Gurugram"
"Ocwen Financial Solutions","4","Financial Services "," 1k-5k Employees ","35","West Palm Beach"
"Star Union Dai-ichi Life Insurance","3.9","Insurance "," 1k-5k Employees ","14","Navi Mumbai"
"Fabindia","3.9","Fashion & Textile "," 1k-5k Employees ","65","Delhi/NCR"
"VLCC","3.8","FMCG "," 201-500 Employees ","34","Delhi/NCR"
"Nuvoco Vistas","4.2","Building Material "," 1k-5k Employees ","24","Mumbai"
"Daikin","4.2","Consumer Electronics & Appliances "," 1k-5k Employees ","23","Osaka City"
"Satin Creditcare Network","4.2","NBFC "," 5k-10k Employees ","33","Gurgaon/Gurugram"
"Morgan Stanley","3.8","Financial Services "," 10k-50k Employees ","92","New York"
"Haldiram Foods","4","FMCG "," 1k-5k Employees ","53","Nagpur"
"Suguna Foods","4","Food Processing "," 5k-10k Employees ","39","Coimbatore"
"Aadhar Housing Finance","4.2","Financial Services "," 1k-5k Employees ","13","Mumbai"
"Bajaj Capital","3.9","Financial Services "," 1k-5k Employees ","59","Delhi/NCR"
"Akzo Nobel India","4.1","Chemicals "," 1k-5k Employees ","84","Amsterdam"
"Oracle Financial Services Software","3.9","IT Services & Consulting "," 10k-50k Employees ","33","Mumbai"
"Collabera Technologies","3.5","IT Services & Consulting "," 501-1k Employees ","32","Basking Ridge"
"HTC Global Services","3.7","IT Services & Consulting "," 5k-10k Employees ","33","Troy"
"Daimler India Commercial Vehicles","4.1","Automobile "," 1k-5k Employees ","137","Chennai"
"Photon Interactive","4.1","IT Services & Consulting "," 1k-5k Employees ","24","London"
"Edelweiss","3.8","Financial Services "," 5k-10k Employees ","6","Mumbai"
"Fusion BPO Services","3.1","BPO "," 1k-5k Employees ","19","Draper"
"Krishna Maruti","4.1","Auto Components "," 1k-5k Employees ","29","Gurgaon/Gurugram"
"Cushman & Wakefield","4.3","Real Estate "," 1k-5k Employees ","26","Chicago"
